MANUF	FULL MODEL	MODEL	VAR/CONF/GEN/SER	CATEGORY	TYPE	SUB-TYPE	FIRE_MECH	CALIBER	BRL-LEN (in)	MIN-LEN  (in)	MAX-LEN  (in)	WEIGHT (lbs)	TRG-PULL	STOCK	GRIP	ACTION	TWIST (in)	FS (mm)	RS (mm)	SR (mm)	CYCLIC ROF	EFF ROF	EFF-RNG-AREA (m)	EFF-RNG-PT (m)	MOA	FEED-SYS	FEED-LOC	STD-CAP	CLONE	NOTES
Para-Ordnance	P14-45	P14	45	Pistol			SA	.45 ACP	5	8.5	8.5	2.42		N/A	HG	short-recoil	1:16	5.334				25	100	50		mag-well:btn-release:insert-lock	inside	14	1911	
Remington	M1911	1911	M	Pistol			SA	.45	5	8.5	8.5	2.41		N/A	HG	short-recoil	1:16	5.334				25		50		mag-well:btn-release:insert-lock	inside	7	1911	
Sig Sauer	P226	P226		Pistol			SA	9x19	4.49	7.7	7.7	2.13	3.09	N/A	HG	short-recoil, locked-breech	1:9.8							50		mag-well:btn-release:insert-lock	inside	10, 12, 15		based on 9x19 only
Smith & Wesson	Model 459	Model 459		Pistol			SA	9x19	4	7.44	7.44	1.91		N/A	HG	recoil-operated										mag-well:btn-release:insert-lock	inside	14		
Smith & Wesson	M&P	M&P		Pistol			SA	9x19, .40 S&W	4.25	7.6	7.6	1.74	6.5	N/A	HG	short-recoil, locked-breech										mag-well:btn-release:insert-lock	inside	15, 17		
Smith & Wesson	Model 915	Model 915		Pistol			SA	9x19	4	7.38	7.38	1.78		N/A	HG											mag-well:btn-release:insert-lock	inside	10, 15		
Springfield Armory	XD	XD		Pistol			SA	9x19	4	7.2	7.2	1.63	4.71	N/A	HG		1:10									mag-well:btn-release:insert-lock	inside	16		based of compact model
Springfield Armory	XD-M	XD	M	Pistol			SA	9x19	4.5	7	7	1.81	4.71	N/A	HG		1:10									mag-well:btn-release:insert-lock	inside	19		
Stoeger	STLR-4	STLR-4		Pistol			SA	.22 LR	4.5	8.8	8.8	1.88		N/A	HG											mag-well:btn-release:insert-lock	inside	10		
Sturm, Ruger & Co	MK II	MK II		Pistol			SA	.22	4.75	6.25	6.25	2.25		N/A	HG	blowback										mag-well:btn-release:insert-lock	inside	10		
Sturm, Ruger & Co	MK III	MK III		Pistol			SA	.22 LR	4.75	9	9	2.2		N/A	HG	blowback	1:16									mag-well:btn-release:insert-lock	inside	10		
Sturm, Ruger & Co	P85	P85		Pistol			SA	9x19	4.5	7.75	7.75	2	7.5	N/A	HG	short-recoil								50		mag-well:btn-release:insert-lock	inside	15		
Sturm, Ruger & Co	P89	P89		Pistol			SA	9x19	4.5	7.75	7.75	2		N/A	HG	short-recoil										mag-well:btn-release:insert-lock	inside	15		
Sturm, Ruger & Co	P95	P95		Pistol			SA	9x19	5.75	7.25	7.25	1.69	9	N/A	HG											mag-well:btn-release:insert-lock	inside	15		
Sturm, Ruger & Co	P944	P944		Pistol			SA	.40 S&W	4.25	7.55	7.55	2.13		N/A	HG											mag-well:btn-release:insert-lock	inside	10		
Sturm, Ruger & Co	LCP	LCP		Pistol			SA	.380 ACP	2.75	5.16	5.16	0.59	5	N/A	HG		1:6									mag-well:btn-release:insert-lock	inside	6, 7 		
Sturm, Ruger & Co	SR9	SR9		Pistol			SA	9x19	4.14	7.55	7.55	1.66	6.7	N/A	HG		1:10									mag-well:btn-release:insert-lock	inside	17		
Tauras	PT-809 E	PT-809	E	Pistol			SA	9x19	4	8.3	8.3	1.89	6-10	N/A	HG		1:10									mag-well:btn-release:insert-lock	inside	17		
Walther	P22	P22		Pistol			SA	.22 LR	3.4	6.3	6.32	0.94	5-12	N/A	HG	blowback	1:16									mag-well:btn-release:insert-lock	inside	10		
Walther	P99	P99		Pistol			SA	9x19	4	7.1	7.1	1.38	8.4	N/A	HG	short-recoil, locked-breech	1:16					30	100	50		mag-well:btn-release:insert-lock	inside	15		
Walther	PP	PP		Pistol			SA	.380 ACP	3.9	6.7	6.7	1.43	4.75-12.25	N/A	HG	straight-blowback	1:16									mag-well:btn-release:insert-lock	inside	7		
Walther	PPS	PPS		Pistol			SA	9x19	3.2	6.32	6.32	1.21	6.1	N/A	HG											mag-well:btn-release:insert-lock	inside	6, 7, 8		
Röhm GmbH	RG10	RG10		Revolver			SA	.22 Short	2.87	6.6	6.8	0.78		N/A	HG											cylinder:eject-rod-all:manual-chmbr,spd-loader	forward	6		cannot find OAL specs on RG10, estimated using RG20
Smith & Wesson	Model 29	Model 29		Revolver			SA	.44 Magnum, .44 Special	4	9.3	9.3	2.74	3.5-10	N/A	HG											cylinder:eject-rod-all:manual-chmbr,spd-loader	forward	6		
Smith & Wesson	Model 36	Model 36		Revolver			SA	.38 S&W	1.88	6.94	6.94	1.22	7	N/A	HG		1:5									cylinder:eject-rod-all:manual-chmbr,spd-loader	forward	5		
Smith & Wesson	500	500		Revolver			SA	.500 S&W Magnum	6.5	12.5	12.5	3.5	4.5	N/A	HG											cylinder:eject-rod-all:manual-chmbr,spd-loader	forward	5		multiple barrel lengths, lengths
Cugir Arms Factory	WASR-10	WASR-10		Rifle	AKM	47	SA	7.62x39	16.39	34.25	34.25	7.5	7.03	Fixed	A2		1:10									mag-well:btn-release:insert-lock	forward	30		
Kalashnikov Concerns	Saiga AK74	Saiga AK	74	Rifle	AKM	74	SA	5.45x39	16.3	36.5	36.5	7.3		Fixed, Folding	A2		1:7.68								2.5	mag-well:btn-release:insert-lock	forward	30		
Norinco	56S	56S		Rifle	AKM	47	SA	7.62x39	16.3	34.75	34.75	8.38		Fixed, Folding	A2						650	40				mag-well:btn-release:insert-lock	forward	30		
Norinco	MAK-90	MAK-90		Rifle	AKM	47	SA	7.62x39	16.3	35.1	35.1	8.25		Fixed	A2, TH											mag-well:btn-release:insert-lock	forward	30		
Poly Technologies	AK-47S	AK-47S		Rifle	AKM	47	SA	7.62x39	16.38	34.38	34.38	8.2		Fixed, Folding	A2		1:9.45									mag-well:btn-release:insert-lock	forward	30		
Zastava Arms	N-PAP DF M70	N-PAP DF M70		Rifle	AKM	47	SA	7.62x39	16.3	37	37	7.9		Fixed, Folding	A2		1:7									mag-well:btn-release:insert-lock	forward	30		some have a folding stock
DPMS Panther	A-15	A-15		Rifle	AR	15	SA	.223, 5.56x45	20	37.25	40.5	7.75	5.5-8.5	Collapsible	A2		1:9									mag-well:btn-release:insert-lock	forward	30		
Heckler & Koch	HK41	HK41		Rifle	AR	10	SA	.308, 7.62x51	19.7	42.5	42.5	10.9		Fixed	A2											mag-well:btn-release:insert-lock	forward	20		
HM Defense	HM15F	HM15	Defender M5	Rifle	AR	15	SA	.223, 5.56x45	16	32.25	35.5	6.8	4.81	Collapsible	A2		1:8									mag-well:btn-release:insert-lock	forward	30		HM Defense aka Luxus Arms. Full Name is HM15F-MB-556 and model is Defender M5
Israeli Military Industries	Uzi Carbine	Uzi	Carbine	Rifle	AW Carbine		SA	9x19	16.14	26	26	7.7		Folding	HG	blowback, open-bolt										mag-well:btn-release:insert-lock	forward	25		
LMT	LM308MWS	LM308MWS		Rifle	AR	10	SA	.308, 7.62x51	16	35	38	9.98		Collapsible	A2	gas-impingement	1:10									mag-well:btn-release:insert-lock	forward	20		
Sturm, Ruger & Co	SR-762	SR	762	Rifle	AR	10	SA	.308, 7.62x51	16.12	34.75	38	8.6	4.5	Collapsible	A2	gas-operated, rotating-bolt	1:10								2.47	mag-well:btn-release:insert-lock	forward	25		trigger pull based on 2016/2016 models
Anderson Arms	AM15	AM15		Rifle	AR	15	SA	.223, 5.56x45	16	32.5	36.25	6.2	5.5-8.5	Collapsible	A2	gas-operated	1:8									mag-well:btn-release:insert-lock	forward	30		
