NAME	TYPE	SIZE (mm)	DIAMETER (mm)	CASE LEN (mm)	BULLET LENGTH (mm)	WEIGHT (gr)	MV (m/s)	ME (N-m)	MOMENTUM (kg⋅m/s)	CHARGE (gr)	NOTE
12.7x108mm	R	12.7x108					822.96	16243.059		255	
.505 Gibbs	R	12.8x80					701.04	8379.141			
.50 Remington Navy	H	13x21.8					228.6	447.43		7	
.500 Linebaugh	H	13x35.7					396.24	2212.743			
.50 Alaskan	R	13x53					516.331	4536.668			
.50-90 Sharps	R	13.0x64					503.53	2996.424		37	
.577 Snider	R	14.5x51					420.624	2290.027		30	
14.5x114mm	R	14.5x114					1005.84	33245.391		1026	
.600 Nitro Express	R	15.7x76					624.84	10323.426		120	
.700 Nitro Express	R	17.8x89					609.6	14325.889			
.950 JDJ	R	24.1x70					670.56	52450.978		3600	
.410-bore	S	10.4	10.4	0.5			368.808	3203.803			
28-gauge	S	10.41	10.41	0.5			368.808	3203.803			
20-gauge	S	13.84	13.84	0.5			368.808	3203.803			
16-gauge	S	15.62	15.62	0.5			368.808	3203.803			
12-gauge	S	16.89	16.89	0.5			368.808	3203.803			
10-gauge	S	18.42	18.42	0.5			368.808	3203.803			
